Subjects,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30
Ln9SeZhj8n,Rabit,2,Car,1,van,1,House,1,baby,1,car,1,eagle,1,bridge,2,prawn,1,parrot,1,river,1,frog,1,eagle,2,snake,1,parachute,2,flight sea,0,fish,1,"cycle,sparrow",3,"snake,bird",0,cock,2,wolf,0,owl,2,wolf,0,frog,2,telephone booth,2,dress,1,monkey,0,guitar ,1,"temple,ice mountain",1,
oPcGbiPDF0,airplane,1,ambulance,1,vw bus,1,old barn,1,banana and baby,3,beetle car and something,1,pizza and hawk,3,not sure,0,street art and something,2,parrot and something,1,snake and something,1,beetle and phone,3,shells and pelican,3,snail and flower,2,hot air balloon and something,2,whale and something,1,I missed it,0,bird and bike,3,leopard and something,2,chicken and something,2,not sure,0,owl and something,2,crane and something,0,sail boat and something,1,phone box and something,2,not sure,0,accordion and girl,1,corn and guitar,3,boat and dog,3,
cTxXPy166d,airplane,1,ambulance car,1,van,1,house,1,child and banana ,3,car,1,eagle,1,bridge,2,none,0,parrot,1,none,0,none,0,clouds,0,none,0,blimp,2,none,0,fish and a barrel ,3,bike,2,cheetah and  lawn mower ,3,rooster,2,"none
",0,owl,2,none,0,frog and a sailboard,3,phone booth,2,none,0,guy playing accordion ,1,guitar ,1,none,0,
kBbBYy50vP,goat,2,ambulance,1,bus,1,cabin,1,baby,1,car,1,eagle,1,bridge,2,crab,1,parrot,1,barrel ,0,keyboard,2,bird,2,ram ,0,hot air balloon ,2,whale,1,goldfish ,1,bird,1,cheetah ,2,chicken ,2,fish ,2,owl ,2,bird ,1,boat ,1,pumpkin ,1,nothing ,0,baby ,0,guitar ,1,ship ,1,
xco2biFYOi,bear,2,car,1,van,1,barn,1,body ,1,car,1,food,2,bridge,2,colors,0,eye,0,room,2,computer,2,bird,2,dish,0,balloon,2,car,0,none,0,bike,2,lion,2,rooster,2,fish,2,ear,0,head,0,cloth,1,phone booth,2,car,2,person,1,guatair,1,bomb,0,
M6MDVThEr7,airplane,1,ambulance,1,van,1,old farmhouse,1,banana face,3,tennis ball and car,3,eagle and pancake,3,bridge,2,crab,1,parrot,1,fish,1,crawfish,1,eagle,2,snake and snail,3,hot air balloon and fin,3,whale,1,barrel and fish,3,bird and bike,3,lawn mower,1,turkey,2,shoes,1,owl,2,bird,1,frog and sailboat,3,phone booth,2,?,0,accordian,1,guitar and corn,3,ship,1,
gfqEFD6i54,Airplane,1,"Ambulance, Building",1,Van,1,Wooden House,1,Baby,1,"Car, Tennis Ball",3,"Hawk, Moon",1,"Moon, Bridge",2,Painting,2,"Tiger, Parrot",1,"Fish, Computer",3,"Gameboy, Scorpian",3,"Eagle, Clouds",2,"Snake, Snail",3,"Air Balloon, Whale Tail",3,Whale,1,Barrel,2,Bicycle,2,No image was shown unless I blinked and missed it.,0,Rooster,2,Zebra,2,"Owl, Boat",3,Bird,1,"Sailboat, Lizard",3,"Phone Box, Person",2,,0,Human playing Accordian ,1,Guitar,1,Ship,1,
TxZwVBtgN1,cannt see,0,car,1,van,1,house,1,women,1,car,1,bird,1,rope,2,art painting,2,love bird,1,chair,2,machine,2,bird,2,art design,0,gas ballon ride,2,bird,2,bottle,2,bicycle,2,watch,0,bird,2,cat,0,monkey,0,animal,1,butterfly,0,road,0,cat,0,music instrument with muscian,1,corn,2,mountain,0,
fiQmpVBGUB,airplane,1,ambulance,1,rusty vw van,1,barn,1,"banana, baby",3,"apple, street",2,"pizza, hawk",3,bridge,2,graffiti,2,parrot,1,clown fish,1,phone,2,"bird, cloud",2,"snake, snail",3,"hot air balloon, dolphin",3,moth,2,barrel,2,bike,2,cheetah,2,rooster,2,shoes,1,"boat, owl",3,grass,0,"frog, sailboat",3,phonebooth,2,taxi,2,toilet,2,"corn, guitar",3,battleship,1,
Q0sVF7pd8K,ship,1,car,1,white car,1,mountain,0,baby,1,car,1,too fast unable to see,0,hockey stick,0,tiger,0,bird,1,car seat,0,shoes,0,birds flying,2,snail,2,no image,0,hand,0,fish,1,bicycle,2,cheetha,2,no image,0,shoes,1,owl,2,no image,0,surfing board,1,dust bin,0,banana,0,singer,1,corn,2,bed,0,
ei5KeFvQ07,nothing ,0,white truck with red trim,1,volkswagen bus,1,barn/shed,1,doll,1,beige 1950s car,1,pizza,2,white net,0,,0,macaw,1,,0,telephone?,2,sea shell?,1,snails?,2,hot air balloon,2,whale,1,goldfish?,1,bicycle,2,big cat with spots,2,rooster,2,,0,owl,2,duck?,1,,0,red phone booth,2,,0,human,1,guitar?,1,bridge?,1,
lDUHYRRaY5,none,0,ambulance,1,VW van,1,barn,1,baby,1,old car,1,eagle,1,bridge,2,painting,0,parrot,1,none,0,none,0,eagle,2,horn,0,hot air baloon,2,dolphin,1,minion,0,bycicle,2,jaguar,2,fox,2,drawing,0,tiger,0,bird,1,none,0,phone booth,2,car,2,someone playing the accordion ,1,guitar,1,none,0,
pvFnl7yd2l,goat,2,window,1,car,1,curtain,0,monkey,0,car,1,food,2,car,0,car,0,statue,0,table,2,window,0,plant,0,na,0,hot air baloon,2,shark,1,fish,1,bike,2,cheetah,2,bat,2,shoe,1,cat,0,cat,0,sailboat,1,dont know,0,bulldozer,2,musician,1,money,0,piano,0,
tH3Fy3ZdYz,none,0,Ambulance,1,Volkswagen bus,1,barn,1,baby and banana,3,Station wagon,1,eagle,1,bridge,2,turtle,1,parrot,1,chair,2,frog,1,bird,2,snail,2,hot air balloon,2,none,0,barrel,2,bike,2,leopard or cheetah,2,rooster,2,none,0,owl,2,bird,1,frog and sailboat,3,telephone booth,2,none,0,accordian,1,corn and guitar,3,ship,1,
lkPU39VxS0,Ship,1,A van,1,an old van,1,A barn,1,A banana,2,A car,1,Slice of pizza and a eagle,3,A bridge,2,A crab,1,A bird,1,a computer monitor,2,none,0,a sea shell,1,a snail,2,a hot air balloon,2,a whale,1,a barrel,2,a bike,2,a cheeta,2,a rooster,2,none,0,an owl,2,some kind of bird,1,a frog,2,a phone booth,2,front of a bus,2,a man ,1,corn,2,none,0,
463ns3vg06,a plane,1,an ambulance,1,a rusty VW van,1,a wooden barn,1,baby,1,a car,1,a bird,1,No idea.,0,no idea/none,0,a parrot,1,no idea/none,0,a phone?,2,no idea/none,0,a snail?,2,a hot air balloon,2,a killer whale,1,a barrel,2,a bike,2,no idea/none,0,a chicken,2,shoes,1,an owl,2,a bird of some kind,1,a sailboat,1,no idea/none,0,a school bus? ,2,no idea/none,0,no idea/none,0,no idea/none,0,
bCOsLSi80W,bird,0,ambulance truck,1,fox,2,house,1,banana,2,car,1,eagle,1,train,0,crab,1,parrot,1,fish,1,register,2,eagle,2,snake,1,hot air balloon,2,whale,1,barrel,2,bicycle,2,snake,0,chicken,2,zeebra,2,owl,2,eagle,1,boat,1,phone booth,2,taxi,2,accordin,1,guitar,1,castle,1,
umsVpIOVMD,van,1,van/ambulance,1,tan van,1,old building,1,banana and baby,3,car and tennis ball,3,bird,1,bridge,2,None,0,parrot,1,fish and computer,3,gas pump,0,eagle and seashell,3,"snake, snail, and plant",3,hot air balloon,2,fish,1,barrel and fish,3,bird and bike,3,leopard,2,rooster,2,None,0,"owl, boat",3,bird,1,"boat, lizard",3,telephone booth,2,car,2,"child, music keyboard",1,"corn, guitar",3,ship,1,
EPuqcOhnsn,none,0,Van,1,Van,1,House,1,A women.,1,Car,1,Giraffee,0,A parrot.,1,Flower,0,A parrot.,1,none.,0,Telephone,2,Bird.,2,Snake,1,Hot air balloon.,2,Dolphin,1,Fish.,1,Sparrow,1,Leopord,2,Hen,2,Cat,0,Owl.,2,Bird.,1,None,0,Telephone booth,2,Frog,0,A man.,1,Corn,2,None.,0,
DybH5xv2WJ,airplane,1,van,1,car,1,house,1,child,1,car,1,meat,2,bridge,2,painting,2,bird,1,none,0,a green box,2,conch,1,snail,2,fire balloon,2,eagle,2,a wine bucket,2,bike,2,an animal,2,chicken,2,shoe,1,bird,2,duck or goose,1,sea boat,1,telephone booth,2,a yellow car,2,a man,1,corn,2,a boat,1,
eBQJIR1Bum,Sheep,2,Van,1,Old van,1,House,1,Baby,1,Car,1,Plate,2,Woman,0,Frog,0,Parrot,1,None,0,Frog,1,Bird,2,Snake,1,Hot air balloon,2,None,0,Gold fish,1,Bird,1,Leopard,2,Chicken,2,None,0,Owl,2,Bird,1,Frog,2,Telephone booth,2,None,0,None,0,Corn,2,Ship,1,
k0HBSpPRZi,jet airliner,1,ambulance (van),1,Volkswagen bus (older model),1,barn,1,baby,1,car,1,eagle or other large raptor,1,suspension bridge,2,suncatcher for window,0,parrot,1,furniture,2,phone,2,clouds,0,snake,1,hot air balloon,2,killer whale,1,barrel or cask,2,bicycle,2,lawn mower,1,rooster,2,pair of shoes,1,owl,2,bird in the grass,1,frog and a sailboat,3,English phone booth,2,bus or other large vehicle,2,person playing accordian,1,guitar and an ear of corn,3,large ship (perhaps an aircraft carrier),1,
VTWAdZ2Rsr,Bird,0,Ambulance,1,VW bus,1,barn,1,Baby and a banana,3,tennis ball and a hand,2,Eagle,1,a bridge,2,None,0,Parrot,1,None,0,Lizard,1,Sky,0,Snail,2,Hot air balloon,2,None,0,Barrel,2,Bicycle and a bird,3,Cheetah and a car,3,Chicken,2,Shoes,1,Owl,2,Bird,1,Frog and a sailboat,3,Phone booth,2,None,0,Accordian,1,Corn on the cob and a guitar,3,Lion,2,
a1MSBfliOc,airplane,1,ambulance van,1,van and maybe a rabbit,3,barn,1,banana,2,tennis ball and town car,3,eagle and pizza,3,bridge,2,turtle,1,parrot,1,computer,2,rotary phone,2,eagle and sea shell,3,flower,0,hot air balloon,2,bird and ocean,2,barrel,2,bicycle and bird,3,lawn mower,1,rooster,2,shoes,1,owl,2,stork,1,sail boat,1,phone booth,2,taxi and leopard,2,squeezebox,0,guitar and corn,3,carrier ship,1,
61jz32Yw54,rabbit,2,ambulance,1,old bus,1,barn,1,banana,2,car,1,bird,1,none,0,none,0,parrot,1,none,0,phone,2,none,0,snail,2,hot air balloon,2,water,0,barrel,2,bike,2,push mower,1,none,0,shoes,1,none,0,bird,1,sailboat,1,phone booth,2,none,0,none,0,corn,2,none,0,
FhedBPG2Mu,nothing,0,ambulance,1,vw bus,1,shack,1,banana,2,vintage car,1,pizza,2,roller coaster,0,tea cup,2,parakeet,1,nothing ,0,phone,2,nothing,0,snake,1,hot air balloon,2,whale,1,barrel,2,nothing,0,tiger,2,rooster,2,nothing,0,owl,2,antelope,1,sail boat,1,sign on tree,1,school bus,2,man playing fiddle,1,guitar,1,boat,1,
qf4KI549ce,dog?,2,ambulance,1,van,1,donkey,2,baby/banana,3,car,1,eagle/sun,1,roller coaster,0,art,2,bird,1,toilet,0,nothing,0,eagle,2,snail,2,hot air balloon,2,whale,1,barrel/fish,3,bike,2,Big cat,2,rooster,2,butterfly,0,,0,,0,,0,,0,,0,,0,,0,,0,
skz4656frR,airplane,1,ambulance,1,rabbit superimposed over a van,3,barn,1,banana and baby,3,house,0,none,0,none,0,none,0,parrot,1,none,0,none,0,seashell,1,none,0,ballon (hot air),2,none,0,none,0,bicycle,2,cat superimposed over lawnmower,3,none,0,shoes,1,owl,2,none,0,sailboat,1,english phone booth,2,none,0,none,0,acoustic guitar,1,lion,2,
GcJoFnUy1a,blue sheet,0,ambulance,1,van,1,old house,1,baby,1,old car,1,eagle,1,bridge,2,fish,2,parrot,1,seat,2,mobile,2,bird,2,snake,1,hot air balloon,2,dolphen,1,jar,2,bicycle,2,tiger,2,hen,2,zebra,2,owl,2,deer,0,frog,2,telephone booth,2,tshirt,1,girl,1,guitar,1,none,0,
L517tCnye8,plane,1,van,1,van,1,house,1,dog,0,car,1,bird,1,boat,0,idk,0,bird,1,train,0,machine,2,bird,2,snail,2,hot air ballon,2,bird,2,barrel,2,bike,2,tiger,2,chicken,2,cat,0,bird,2,bird,1,plane,0,superman,0,cat,0,man,1,food,2,hill,0,
BzXbpnT2ks,,0,Ambulance,1,Van,1,Barn,1,Baby,1,Car,1,Pizza and a bird,3,Bridge,2,crab,1,parrot,1,,0,scorpion,1,eagle,2,snake and snail,3,whale tail and hot air balloon,3,dolphin,1,barrel and goldfish,3,bicycle and bird,3,leopard and car,2,chicken,2,,0,owl,2,,0,frog and sailboat,3,,0,car,2,man,1,guitar and couch,1,factory,1,
qJsph4XQnW,sky and an animal,3,bus and a building,1,old tan bus and a building,1,cottage,1,none,0,old car olive green,3,bird sky,1,none,0,none,0,parrot,1,none,0,none,0,bird (eagle) sky,2,snake,1,"hot air balloon, sky",2,none,0,bucket,2,red bike,2,cheetah print,2,rooster,2,none,0,owl,2,none,0,rainbow sail boat,1,red phone booth,2,none,0,musician,1,guitar,1,none,0,
S5sLHBUlOP,Car,1,Van,1,Volkswagen bus,1,Barn,1,Banana,2,Car,1,Eagle,1,Bridge,2,Crab,1,Parrot,1,Food,0,None,0,Eagle,2,None,0,Hot air balloon,2,Shadow,0,Barrel  ,2,Bicycle,2,Bug,0,Squirrel ,2,Person,0,Owl,2,Goat,0,Frog,2,Surfboard,0,Building,0,Person with long hair and mustache,1,Wood,0,Black and white photo,0,
Gh5Ww9IiRL,car?,1,ambulance,1,yellow vw bus,1,brown house/shed,1,baby and banana,3,tennis ball and car,3,pizza and eagle,3,bridge,2,spaghetti and crab,1,parrot,1,crib?,0,green telephone,2,eagle,2,snake and flower,1,hot air balloon,2,nothing,0,barrel,2,"bird, bike",3,leopard,2,rooster,2,black shoes,1,owl,2,nothing,0,parasail,1,"red phone booth, yellow rain coat",2,nothing,0,someone playing an accordian,1,guitar,1,castle,1,
2HTbePYLEi,rabbit,2,ambulance,1,van,1,barn,1,banana,2,car,1,eagle,1,bridge,2,painting,2,parrot,1,desk,2,scorpion,1,falcon,2,snake,1,balloon,2,bird,2,barrel,2,bike,2,tiger,2,fish,2,bird,0,owl,2,stork,1,bird,0,phone booth,2,car,2,musician,1,corn,2,ship,1,
uVJpsSNw5a,airplane,1,ambulence,1,Vw bus,1,barn,1,Baby and banana,3,Apple and car,3,Eagle and sun,1,Bridge and something,2,I think it was a cat,0,parrot,1,fish,1,Grasshopper and telephone,3,bird,2,Snail and flower ,2,Balloon and whale,3,bird,2,Fish and barrel,3,Bike and dog,2,cat,2,fish,2,shoes,1,Owl and boat,3,bird,1,boat,1,pumpkin,1,car,2,piano,1,cat,0,lion,2,
4eVZeg3b2q,airplane,1,ambulance,1,vw van,1,barn,1,baby,1,tennis ball and a car,3,pizza and eagle,3,bridge,2,none,0,parrot,1,wheels,0,phone,2,bird,2,snail,2,hot air balloon,2,butterfly,2,barrell,2,bicycle and bird,3,leopard,2,rooster,2,shoes,1,owl,2,bird,1,frog,2,telephone booth,2,car,2,accordion,1,guitar,1,ship,1,
ty74teNwOF,squirrel,2,ambulance,1,VW bus,1,old barn,1,banana and a doll,3,apple and a station wagon,3,pizza and an eagle,3,bird and a bridge,3,guitar?,0,bird,1,bird,1,"something green, and a lobster?",3,sea shells,1,flower,0,hot air balloon ,2,butterfly,2,fish and a barrel,3,bird and a bicycle,3,leopard,2,chicken,2,black shoes,1,owl,2,bird,1,sail boat and a lizard?,3,phone booth,2,school bus?,2,accordion player?,1,guitar and corn on the cob,3,lion and a ship,3,
JvgsI3Y3sf,plane,1,truck,1,old van,1,shack,1,baby and maybe a banana?,3,car,1,pizza and a eagle,3,bridge,2,none,0,bird and a lady,1,none,0,none,0,sea shell,1,none,0,whale and a air ballon,3,water,0,fish and a barrel,3,bike,2,leopard,2,a rooster,2,ears,0,owl,2,bird,1,sail boat,1,a phone booth,2,school bus,2,a guy,1,corn,2,a building,1,
jd0XuzGjD9,Airplane,1,Van,1,"Older van, Volkswagen i believe.",1,Barn,1,Baby with a banana overlay,3,van with a pear overlay?,3,Eagle or hawk,1,Lady with some kind of hairnet on,0,Crab,1,Macaw,1,car,0,register,2,eagle,2,snake,1,hot air baloon,2,manta ray,1,Barrel with a fish overlay,3,Bicycle with some kind of songbird overlay,3,lawn mower,1,Rooster,2,Shoes,1,Owl,2,,0,Sailboat with a fish overlay,3,Phone booth,2,Yellow car/taxi,2,Accordion ,1,Guitar,1,Bison,2,
oIo62kBgQ7,dog,2,car,1,cat,2,barn tree,1,woman bed,0,car,1,eagle,1,bridge,2,fish,2,parrot,1,pottery,0,machine of some kind,2,eagle seashell,3,tires,0,hot air balloon,2,water,0,wood barrel,2,bicycle,2,leopard,2,collie,0,zebra,2,owl,2,heron,1,fish sailboat,3,pumpkin,1,vehichle of some sort,2,keyboard,0,guitar,1,,0,
uTP3GpiljW,none,0,ambulance,1,van,1,none,0,child,1,classic car,1,none,0,bridge,2,none,0,bird,1,goldfish,1,none,0,sea shell,1,none,0,none,0,none,0,fish,1,bike,2,none,0,none,0,cat,0,none,0,hills,0,none,0,none,0,tractor,2,pianist,1,none,0,monument,0,
22V9Uoye0r,airplane,1,ambulance,1,vehicle and some kind of animal,3,barn,1,baby and banana,3,vehicle and apple,3,pizza and bird of prey,3,fence and sitting bird,3,tatoo,2,parrot,1,tape recorder or equipment,2,wooden wall and maybe a typewriter,2,seashell and bird,3,flower and snail shell,2,balloon and diving marine animal,3,water and tail of marine animal,1,goldfish and barrel,3,bicycle,2,leopard head,2,rooster,2,shoes,1,owl and outdoors,3,standing bird,1,frog and sailboat,3,telephone booth,2,vehicle and animal,2,acordian and man,1,"guitar and corn on cob
",3,big ship and mammal ,3,
Ep0FFk8dei,car,1,ambulance,1,bus,1,barn,1,nothing,0,car,1,eagle,1,yarn,0,seafood,1,bird,1,muffins,0,phone,2,shell,1,snake,1,hot air balloon,2,bird,2,barrel,2,bike,2,leopard,2,chicken,2,owl,0,owl,2,not sure,0,sailboat,1,phone booth,2,not sure,0,accordian,1,guitar,1,boat,1,
QCCDwIIqFF,airplane,1,ambulance,1,bus,1,barn,1,banana with a face,3,vw bug car,1,eagle/bird soaring,1,rope bridge,2,none,0,parrot,1,computer,2,typewriter and a scorpion ,3,shell and a bird,3,snake,1,hot air balloon,2,none,0,wooden barrel,2,bike,2,leopard,2,rooster,2,none,0,owl,2,bird,1,frog and sailboat,3,phone booth,2,none,0,accordion player,1,corn on the cobb,2,navy ship,1,
