,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31
68UPUqgXx5,  lipstick,2,painting,0,none,0,clock,2,None,0,hat,2,None,0,fan,2,None,0,vase,0,eye,2,kangaroo,2,oranges,2,elephant,2,snake,2,bird,2,ant,2,cheetah,2,human on a boat,2,pot,2,piano,2,zebra,2,revolver,2,flower,2,banana,2,None,0,can,2,None,0,None,0,None,0,
67pkvZmLzC,lipsticks  ,2,none,0,gorilla,2,none,0,none,0,hat,2,glass,0,none,0,none,0,none,0,gorilla,2,none,0,grapes,2,animal,2,eye,2,bird,2,insect,2,frog,0,none,0,cup,2,books,2,zebra,2,glass,0,"flowers
",,banana,2,none,0,glass,2,none,0,none,0,none,0,
wJH3OS75iH,  Lipstick?,2,A bunch of colors spread out like clouds.,0,,,A clock,2,Bagels?,2,Cowboy hat on a man,2,A old wagon ,2,a clock,0,tiger,2,sloth?,0,bear,2,kangaroo,2,eggs,2,elephant,2,banana,0,swan,2,ant,2,cheetah,2,bird?,0,bucket,2,piano,2,zebra,2,gun,2,flower,2,banana and apple,2,fighter jet?,2,cup,2,N/A,0,doorknob?,0,cat,2,
iHDvo6FmYx,lipstick tubes  ,2,a colorful tie dye looking image,0,gorilla face,2,didnt catch this image.  It was colorful,0,None,0,egg,0,none,0,fan,2,tye dye image,0,none,0,none,0,deer,2,eggs,2,elephant,2,none,0,flamingo,2,spider,2,cheetah,2,dancer,2,cup,2,boards stacked,0,zebra,2,none,0,daisys,2,none,0,none,0,drinking glass,2,none,0,watches,2,none,0,
4XDRw3Rctd,none  ,0,none,0,none,0,watch,2,none,0,hat,2,carriage,2,fan,2,tiger,2,dress,0,dog,2,none,0,eggs,2,dog,2,none,0,none,0,ant,2,leopard,2,none,0,bucket,2,book,2,zebra,2,revolver,2,flower,2,banana,2,none,0,none,0,none,0,none,0,none,0,
kXUM2WiEsr,Lipsticks of different shades  ,2,"Splash of random colors like blue, pink, yellow etc on a white background.",0,Splash of colors and a dark colored object that looked like a rock.,0,A watch and some splash of colors in the background.,2,A snake - a cobra perhaps?,0,Cowboy hat,2,none,0,Table fan,2,Tree,0,none,0,Face of an animal - cow perhaps?,2,Kangaroo,2,Eggs,2,Elephant,2,Fish,2,Pelican,2,Ant,2,Cheetah,2,none,0,Gold plated pan,0,Grand piano,2,Zebra,2,Gun,2,Sunflowers,2,Banana and some other fruits,2,none,0,A glass and a strip on top,2,none,0,3 watches.,2,Some random colors.,0,
QbGIRhNf3t,lip stick  ,2,art painting,0,gorilla,2,a watch.,2,rocks,0,cowboy hat,2,window,0,globe,0,lion face,2,penguin,0,horse,2,kangaroo,2,tray of eggs,2,elephant,2,snake,2,donkey,0,insect,2,leopard,2,mermaid,0,frying pan,0,wood,0,zebra,2,gun,2,flowers,2,octopus,0,jets,2,glass,2,tree,0,frog,0,infrared mapping,0,
VippC1c3fe,lipstick  ,2,no object just colors,0,gorilla,2,watch,2,none,0,hat,2,bike,0,fan,2,tiger,2,foot,0,dog,2,kangaroo,2,eggs,2,elephant,2,blade,0,bird,2,insect,2,big cat,2,person in a boat,2,pail,2,piano,2,zebra,2,gun,2,flower,2,banana,2,none,0,cup,2,none,0,none,0,none,0,
3rQ5KAdYnI,many sticks of lipstick  ,2,some kind of abstract art,0,a gorilla,2,abstract art,0,a snake,0,a hat,2,abstract art,0,a wheel,2,a tiger,2,a vase,0,a gorilla,2,a kangaroo,2,oranges,2,an elephant,2,an eye,2,a bee or insect,0,a spider,2,a spider,0,a moth,0,a cup,2,a block,0,a zebra,2,a gun,2,flowers,2,bananas,2,rocks,0,a glass,2,abstract art,0,cells,0,abstract art,0,
puvN03JOPE, Astronauts,0,beach,0,monkey,0,none,0,none,0,cowboy hat,2,none,0,Airboat,0,Tiger,2,atomic bomb,0,monkey,2,none,0,eggs,2,none,0,none,0,none,0,spider,2,none,0,none,0,coffee,0,table,0,zebra,2,none,0,daisies,2,tongue,0,none,0,bottle,2,water,0,none,0,none,0,
WbCi6IO7fr,None  ,0,None,0,monkey,0,none,0,none,0,hat,2,bike,0,fan,2,colors,0,none,0,bear,2,kangaroo,2,eggs,2,elephant,2,none,0,bird,2,ant,2,cheetah,2,boat,0,pail,2,piano,2,zebra,2,none,0,flower,2,banana,2,none,0,paint,2,none,0,none,0,none,0,
lZQd5alFZ7,lipsticks  ,2,biology slide,0,mountain,0,"watch
",,none,0,cowboy hat,2,lemon slice,0,fan,2,tiger,2,mushroom cloud,0,dog,2,deer,2,eggs,2,elephant,2,bird,0,rabbit,0,eye,0,leopard,2,raccoon,0,pale,2,piano,2,zebra,2,gun,2,flower,2,banana,2,none,0,glass,2,none,0,tiger,0,clouds,0,
PqLX4eikiV,lipstick  ,2,colors,0,gorilla ,2,a watch ,2,a snake,0,cowboy hat,2,a old style wagon ,2,a snail shell,0,a tiger,2,a person ,0,a dog,2,deer,2,eggs,2,elephant,2,no idea,0,flamingo ,2,spider,2,cheetah ,2,a painting ,0,a pot ,2,piano ,2,zeebra ,2,gun ,2,two flowers ,2,bananas ,2,no idea ,0,paint can ,2,no idea ,0,no idea ,0,colors ,0,
yLeS6IL4H2,  Lipstick,2,Nothing,0,Owl,0,Watch,2,Coins,0,Hat,2,nothing,0,Fan,2,Tiger,2,Bottle,0,Horse,2,Deer,2,Nothing,0,Elephant,2,Nothing,0,Pelican,2,Spider,2,Cheetah,2,Nothing,0,Bucket,2,Piano,2,Zebra,2,Gun,2,Flowers,2,Banana,2,Nothing,0,Shot glass,2,Nothing,0,Watches,2,Nothing,0,
iFP2lmeu8E,Nuts  ,0,"A painting
",0,An orangutan,2,A clock,2,An owl,0,A hat,2,A wheel,2,A globe,0,A tiger,2,A vase,0,A woman,0,A kangaroo,2,A basket of eggs,2,An elephant,2,An eye,2,An eagle,0,An ant,2,A leopard,2,A cat,0,A pot,2,A piano,2,A zebra,2,A gun,2,A flower,2,A banana,2,A bat,0,A can,2,A lake,0,A watch,2,A cave,0,
P4j75lQVW5,  the volume button and the plus sign,0,none,0,gorilla,2,none,0,nothing,0,nothing,0,woods,0,nothing,0,nonthing,0,fruit,0,nothing,0,floor,0,nothing,0,nothing,0,nothing,0,nothing,0,nothing,0,nothing,0,nothing,0,nothing,0,nothing,0,zebra,2,nothing,0,flowers,2,nothing,0,nothing,0,nothing,0,nothing,0,nothing,0,nothing,0,
NgzJDhRpze,lipstick  ,2,none,0,gorilla,2,clock,2,cookies,2,hat,2,none,0,fan,2,tiger,2,ice cream,0,dog,2,kangaroo,2,eggs,2,elephant,2,snake,2,pelican,2,spider,2,cheetah,2,none,0,pot,2,piano,2,zebra,2,gun,2,flower,2,fruit,2,none,0,glass,2,none,0,none,0,none,0,
W2fI06kbyS,lipstick  ,2,painting,0,gorilla,2,"container
",,rabbit,0,hat,2,none,0,wheel,2,none,0,dog,0,dog,2,deer,2,limes and lemons,2,elephant,2,anteater,0,heron,2,ant,2,leopard,2,wolf,0,pot,2,piano,2,zebra,2,gun,2,flower,2,banana,2,none,0,can,2,none,0,watch,2,none,0,
gs9L55dm6d,  lipstick,2,scribbles,0,igneous rock,0,watch,2,coins,0,"cowboy hat
",2,clocks,0,satellite,0,bunny hole,0,horse head,0,bear,2,humans,0,eggs,2,animal,2,eyelid,2,rabbit,0,spider,2,leopard,2,crow,0,coffee cup,2,piano,2,zebra,2,revolver,2,flower,2,bananas,2,zebra,0,cup,2,completely unsure,0,watches,2,horse,2,
WYWASe0Ch5,"ice cream
  ",,rainbow colors,0,orangutan,2,clock,2,"baked goods
",2,cowboy hat,2,carriage,2,fan,2,tiger,2,stocking,0,dog,2,kangaroo,2,eggs,2,elephant,2,clam,0,pelican,2,ant,2,cheetah,2,human with staff,2,cup,2,piano,2,zebra,2,gun,2,daisies,2,bananas,2,jacks,0,tin can,2,pool,0,fingers,0,horse,2,
0f9PNmotZn,  grapes,0,rainbow,0,ape,2,clock,2,dog,0,hat,2,did not recognize,0,clock,2,dog,0,chicken,0,dog,2,rabbit,2,eggs,2,rabbit,2,rabbit,0,duck,2,eyes,0,snake,0,rabbit,0,cup,2,dog,0,zebra,2,gun,2,flowers,2,eggs,0,eyes,0,shell,0,water,0,shells,0,balls,0,
rtAWRSqqJ0,lip stick  ,2,none,0,gorilla,2,watch?,2,none,0,none,0,none,0,clock,2,tiger,2,plum,0,dog,2,kangaroo,2,eggs,2,elephant,2,none,0,bird,2,none,0,tiger,2,none,0,pot,2,piano,2,zebra,2,gun,2,flower,2,banana,2,none,0,can,2,none,0,none,0,dog,2,
FHaNDFT3Ly,  mushrooms,0,idk,0,bear,2,idk,0,idk,0,eagle,0,idk,0,idk,0,idk,0,skateboard,0,horse,2,horse,2,eggs,2,idk,0,idk,0,horse,0,idk,0,lepoard,2,idk,0,idk,0,idk,0,zebra,2,idk,0,flower,2,idk,0,idk,0,idk,0,idk,0,idk,0,idk,0,
2w1CTZ6ds1,Lipstick  ,2,None,0,Gorilla,2,Clock,2,Wheel,2,Hat,2,Wagon,2,Fan,2,Tiger,2,None,0,None,0,Kangaroo,2,Eggs,2,Elephant,2,Eye,2,Pelican,2,Ant,2,Cheetah,2,None,0,Bucket,2,Piano,2,Zebra,2,Revolver,2,Flower,2,Banana,2,Nails,0,Pail,2,none,0,Watch,2,None,0,
4OHbWhoC2d,Lipstick  ,2,Colours,0,Ape,2,Compass,2,None,0,Hat,2,None,0,Zero,0,Eyes,2,Eaten apple,0,Monkey,2,Kangaroo,2,Eggs,2,Elephant,2,None,0,Storks,2,Ant,2,Cheetah,2,None,0,Cup,2,Piano,2,Zebra,2,Gun,2,Flower,2,Banana,2,None,0,Glass tumbler,2,None,0,Watches,2,None,0,
ltvD98LrFl,LIPSTICK  ,2,PAINTING,0,GORILLA,2,PAINTING,0,PAINTING,0,SCULPTURE,0,PAINTING,0,FAN,2,PAINTING,0,PAINTING,0,GORILLA,2,KANGAROO,2,EGGS,2,ELEPHANT,2,PAINTING,0,FLAMINGO,2,ANT,2,LEOPARD,2,NONE,0,BUCKET,2,NONE,0,ZEBRA,2,GUN,2,FLOWER,2,BANANA,2,NONE,0,GLASS,2,NONE,0,HAND,0,ANIMAL,2,
MIUzwtfpV0,  lip stick,2,painting,0,painting,0,money,0,painting,0,cowboy hat,2,painting,0,fan,2,painting,0,bottle,0,dog,2,deer,2,eggs,2,elephant,2,painting,0,peligum,2,spider,2,lepoard,2,women,2,bucket,2,bird,0,zebra,2,pistol,2,flower,2,painting,0,plane,2,class,0,painting,0,painting,0,fireworks,0,
o52fZ9Xrtl,  lipstick,2,"colors, like a watercolor painting",0,gorilla,2,watch,2,snake?,0,cowboy hat,2,"not sure, wagon wheel?",2,fan,2,nothing but the colors,0,human form,0,dog,2,kangaroo,2,eggs in a basket,2,elephant,2,not sure nothing,0,bird,2,ant,2,leopard,2,ballerina,2,pan/bucket with handle,2,piano,2,zebra,2,gun,2,flower,2,snake,0,"nothing, colors",0,drinking glass,2,nothing,0,watches,2,"nothing, colors",0,
3V074B0wbm,POT  ,0,NONE,0,animal,2,watch,2,rock,0,hat,2,painting,0,wheel,2,painting,0,none,0,horse,2,kangroo,2,balls,2,elephant,2,dragon,0,none,0,eye,0,cheetah,2,horse,0,vesel,0,hat,0,zebra,2,none,0,flower,2,none,0,none,0,vessel  ,0,none,0,hippopotamas,0,none,0,
pDFjkbmIUI,grapes  ,0,colorful drawing,0,Chimpanzee,2,Colorful thing,0,Stone,0,Rock,0,Green color picture,0,Car wheel,2,Colorful art,0,Mixed colors,0,Dog,2,Kangaroo,2,Eggs,2,Elephant,2,Whale,0,Snake,0,Ant,2,Jaguar,2,Man,2,A utensil hanging on the hook,0,Dress,0,Zebra,2,Lock,0,Flower,2,Person,0,Mountain,0,Glass,2,Mixed color,0,Animal,0,Mixed color,0,
NRjOwOkg9K,none  ,0,none,0,chimpanzi,2,fish,0,frog,0,frog,0,none,0,eye,0,tiger,2,none,0,animal,2,cheetah,2,none,0,elephant,2,none,0,none,0,mosquito,2,cheetah,2,lion,0,none,0,fish,0,zebra,2,none,0,flower,2,banana,2,none,0,none,0,none,0,none,0,none,0,
E4rtGCemXi,it was too fast to tell  ,0,Different colored object.,0,Gorilla,2,a painting,0,a painting with an brown colored object,0,a blue object,0,a brown object,0,an object with red and circles,0,"brown,blue painting",0,A green and red painting,0,a dog painting,2,a grey deer,2,brown and grey rocks painting,2,grey and blue painting,0,"brown,blue painting",0,blue and red painting,0,ant on blue background painting,2,painting with leopard prints,2,painting with beige objects,0,metal pail on painting,0,wooden object painting,0,zebra,2,gun painting,2,brown colored objects,0,fruit with blue background painting,2,blue and brown painting,0,blue painting,0,green painting,0,brown painting,0,yellow and red with blue painting,0,
0g0H0nnCZb,  None,0,None,0,None,0,None,0,None,0,Hat,2,None,0,None,0,None,0,None,0,Dog,2,Kangaroo,2,None,0,Elephant,2,None,0,None,0,None,0,None,0,None,0,None,0,None,0,Zebra,2,Gun,2,Flower,2,None,0,None,0,None,0,None,0,None,0,None,0,
D8ExztDliw,  lipstick,2,none,0,gorilla,2,telephone,0,donuts ,2,cowboy hat,2,wagon,2,fan,2,none,0,none,0,dog,2,kangaroo,2,none,0,elephant,2,fish,2,pelican,2,ant,2,cheetah,2,none,0,bucket,2,none,0,zebra,2,handgun,2,daisy,2,banana,2,none,0,cup,2,none,0,none,0,cat,2,
ZhqoZ6lgPZ,tree stumps  ,0,Abstract picture in pastels.,0,"Gorilla, orange",2,sundial,2,donuts,2,cowboy hat from the back.,2,carriage in a forest.,2,electric fan,2,,,peacock.,0,bear or a dog with tongue hanging out.,2,hopping kangaroo,2,eggs in a basket.,2,elephant with tusks.,2,black snake in brown leaves,2,red brown pelicans,2,spider,2,leopard (spotted wild cat),2,something hairy,0,metal bucket,2,grand piano,2,zebra,2,pistol with wooden handle,2,flower,2,banannas,2,fish,0,empty glass,2,flamingo,0,alligator,0,"colors of red, yellow, blue - no object",0,
TMMqdQPodG,  plants,0,"art
",,art,0,art,0,violin,0,hat,2,cart,2,balloon,0,art,0,dress,0,dog,2,kangaroo,2,eggs,2,elephant,2,fish,2,bird,2,ant,2,tiger,2,dancer,2,pan,0,piano,2,zebra,2,gun,2,flower,2,whale,0,art,0,glass,2,eggs,0,art,0,art,0,
Pyh8rO2Ltk,Lipsticks  ,2,crayon scrawl,0,gorilla?,2,none,0,none,0,someone wearing cowboy hat,2,wagon/carriage,2,fan,2,none,0,deer?,0,dog,2,kangaroo,2,eggs,2,elephant,2,none,0,pelican,2,spider,2,cheetah/leopard,2,person rowing a boat?,2,bucket,2,grand piano,2,zebra,2,gun,2,flower,2,bananas,2,none,0,glass?,2,none,0,none,0,dog?,2,
W7kEhOglxj,apples  ,0,None,0,None,0,watch,2,cake,2,hat,2,None,0,circles,2,nuts,0,None,0,dog,2,rocks,0,dinner rolls,2,rabbit,2,fish,2,None,0,spider,2,marble,0,None,0,pot,2,boxes,0,zebra,2,knife,0,flowers,2,leaves,0,None,0,glass,2,None,0,None,0,flowers,0,
goUEH2C9nH,lip stick  ,2,none,0,orangatang,2,na,0,snake i think,0,cowboy hat,2,bike i think,0,ball,0,tiger,2,sock,2,dog,2,kangaroo,2,oranges,2,elephant ,2,idk,0,bird,2,spider,2,cheeta,2,idk,0,couldnt tell,0,piano,2,zebra,2,gun,2,flower,2,banana,2,na,0,cup,2,couldnt tell,0,na,0,nothing,0,
bo19n9cML3,lipstick  ,2,umbrella,0,seal,0,watch,2,cookies,2,cowboy hat,2,bicycle,0,electric fan,2,tiger,2,penguin,0,dog,2,kangaroo,2,bowl of oranges,2,elephant,2,fish,2,pelican,2,ant,2,leopard,2,sloth,0,bucket,2,piano,2,zebra,2,revolver,2,flower,2,bananas,2,geese,0,beer can,2,pencils,0,tree branch,0,dog,2,
nbfszN8nkU,  lipstick,2,abstract art,0,gorilla,2,watch,2,snake,0,cowboy hat,2,wagon wheel,2,fan,2,cat,1,vase,0,dog,2,kangaroo,2,eggs,2,elephant,2,rabbit,,pelican,2,spider,2,cheetah,2,lion,0,bucket,2,indian,0,zebra,2,gun,2,flower,2,bananas,2,plane,2,spring,0,bird,0,hair,0,rhino,2,
N89lTFzOpl,  flowers,0,just some colors; blue purple in an abstract pattern,0,gorilla,2,"saw colors and the face of something similar to a watch or meter
",0,none,0,cowboy hat from behind,2,bicycle,0,fan,2,tiger,2,vase,0,dog,2,kangaroo,2,eggs,2,elephant,2,fish,2,waterfowl,0,spider,2,leopard,2,woman in a dress,2,bowl,0,none,0,zebra,2,none,0,daisy,2,bananas,2,none,0,none,0,none,0,watches,2,none,0,
LoS2phngk3,mushrooms   ,0,Splashes of color,0,A gorilla,2,A clock,2,"A splash of colors, maybe a painting",0,A cowboy hat,2,A painting,0,A grill rack,0,A tiger ,2,A deer,0,A dog,2,A animal,2,potatoes,2,elephant,2,An eye,2,A duck,2,An ant,2,A fish,0,A painting,0,a cup,2,black and white art,0,zebra,2,gun,2,white flower,2,bannanas,2,a art piece,0,a glass,2,colorful art,0,handcuffs,0,colorful art,0,
PUrtaWG8IJ,  lipstick,2,none,0,gorilla,2,watch,2,none,0,man with a cowboy hat,2,carriage,2,fan,2,tiger,2,none,0,dog,2,kangaroo ,2,eggs,2,elephant,2,none,0,pelican,2,spider,2,giraffe?,2,row boat,2,pail,2,piano,2,zebra,2,gun,2,daisy,2,fruit,2,none,0,none,0,cello,2,none,0,none,0,
k3M60QQbse,lipsticks  ,2,hazy colors,0,gorilla,2,clock,2,red swirl,0,hat,2,wheels,2,fan,2,tiger,2,bottle,0,dog,2,kangaroo,2,potatoes,2,elephant,2,jaguar,2,pelican,2,fly,2,leopard,2,bee,0,cup,2,window,0,zebra,2,parrot,0,flower,2,banana,2,bee,0,glass,2,hand,0,beehive,0,deer,2,
uNjWuOdKB0,  kittens,0,crayon scribbling,0,birds face,0,a watch,2,cookies,2,egg,0,wheel,2,circle,2,smeared colors,0,stocking,2,dog,2,deer,2,basket,2,elephant,2,cat,,pelican,2,spider,2,tiger,2,bird,0,tea cup,2,piano,2,zebra,2,gun,2,daisy,2,bananas,2,stick,0,glass,2,kids,0,cookies,0,colors,0,
zXIvdS1uPm,  lipsticks,2,none,0,animal,,clock or watch,2,none,0,cowboy hat,2,none,0,none,0,none,0,none,0,dog,2,kangaroo,2,rocks or eggs,2,elephant,2,snake or eel,2,flamingo or swan,2,fly,2,leopard ,2,"female
",,bucket,2,piano,2,zebra,2,gun,2,flowers,2,bananas,2,planes or birds,2,can,2,none,0,none,0,none,0,
3YF7UYJ9Af,"icecream
  ",,nothing,0,gorilla,2,nothing,0,stained glass,0,egg,0,"nothing
",,stained glass,0,nothing,0,nothing,0,ape,2,elephant,2,nothing,0,nothing,0,nothing,0,bread,0,spider,2,"leopard
",,angel,0,soup,0,nothing,0,zebra,2,nothing,0,daisy,2,banana,2,nothing,0,can,2,nothing,0,nothing,0,nothing,0,
